x;y;y_zwei
774;1699699;2209608.7
775;1761300;2289690
776;1827099;2375228.7
777;1716299;2231188.7
778;1735800;2256540
779;2129900;2768870
780;1820900;2367170
781;1985300;2580890
782;1825801;2373541.3
783;1797999;2337398.7
784;1833600;2383680
785;1846499;2400448.7
786;1817001;2362101.3
787;1850499;2405648.7
788;1832601;2382381.3
789;1751099;2276428.7
790;1752599;2278378.7
791;1832300;2381990
792;1968701;2559311.3
793;1953500;2539550
794;1928001;2506401.3
795;1820901;2367171.3
796;2354800;3061240
797;1849800;2404740
798;2249599;2924478.7
799;2165400;2815020
800;1853499;2409548.7
801;1928500;2507050
802;1866000;2425800
803;2055500;2672150
804;1877700;2441010
805;1960599;2548778.7
806;1978201;2571661.3
807;1898500;2468050
808;1891301;2458691.3
809;2020400;2626520
810;1887200;2453360
811;1959100;2546830
812;1888599;2455178.7
813;1915699;2490408.7
814;1935100;2515630
815;1883999;2449198.7
816;1934800;2515240
817;1921399;2497818.7
818;1905600;2477280
819;1886900;2452970
820;2073699;2695808.7
821;1956299;2543188.7
822;1983000;2577900
823;1900600;2470780
824;1912000;2485600
825;1975700;2568410
826;1931001;2510301.3
827;1929401;2508221.3
828;2292999;2980898.7
829;1945200;2528760
830;2000900;2601170
831;1934500;2514850
832;1927200;2505360
833;2028099;2636528.7
834;2079300;2703090
835;1935500;2516150
836;2029600;2638480
837;1936000;2516800
838;1933799;2513938.7
839;3974100;5166330
840;1990400;2587520
841;1895099;2463628.7
842;2273200;2955160
843;1846800;2400840
844;2260300;2938390
845;1905999;2477798.7
846;1916800;2491840
847;2114600;2748980
848;1999899;2599868.7
849;1970400;2561520
850;1903400;2474420
851;1948700;2533310
852;1929100;2507830
853;1914900;2489370
854;2063099;2682028.7
855;1884001;2449201.3
856;1998299;2597788.7
857;2027100;2635230
858;2122799;2759638.7
859;1946500;2530450
860;1959500;2547350
861;1941800;2524340
862;2003301;2604291.3
863;1944400;2527720
864;1929600;2508480
865;2342000;3044600
866;2013400;2617420
867;1985800;2581540
868;1993400;2591420
869;2120900;2757170
870;2156400;2803320
871;2966300;3856190
872;2112300;2745990
873;1902400;2473120
874;1919499;2495348.7
875;2402800;3123640
876;1956100;2542930
877;1928499;2507048.7
878;2407399;3129618.7
879;1928300;2506790
880;2071800;2693340
881;2022199;2628858.7
882;1994200;2592460
883;1929400;2508220
884;2092901;2720771.3
885;1986899;2582968.7
886;1951200;2536560
887;2095301;2723891.3
888;2100800;2731040
889;2027900;2636270
890;2145700;2789410
891;1965800;2555540
892;2371500;3082950
893;2104401;2735721.3
894;1986399;2582318.7
895;1964300;2553590
896;2238299;2909788.7
897;2054799;2671238.7
898;2154100;2800330
899;2018601;2624181.3
900;2371499;3082948.7
901;2021600;2628080
902;2087600;2713880
903;2128700;2767310
904;2011000;2614300
905;2195399;2854018.7
906;1986100;2581930
907;1988700;2585310
908;1995599;2594278.7
909;2088500;2715050
910;2110100;2743130
911;2099000;2728700
912;2180500;2834650
913;2044401;2657721.3
914;2004200;2605460
915;2265500;2945150
916;2067299;2687488.7
917;2097500;2726750
918;2048300;2662790
919;2025800;2633540
920;2081401;2705821.3
921;2123999;2761198.7
922;2509400;3262220
923;2049400;2664220
924;2282301;2966991.3
925;2071600;2693080
926;2101300;2731690
927;2119700;2755610
928;2051899;2667468.7
929;2354200;3060460
930;2050400;2665520
931;2166401;2816321.3
932;2041500;2653950
933;2101400;2731820
934;2099899;2729868.7
935;2119400;2755220
936;2063600;2682680
937;2161201;2809561.3
938;2055300;2671890
939;2168100;2818530
940;2147400;2791620
941;2096300;2725190
942;2070200;2691260
943;2181500;2835950
944;2073301;2695291.3
945;2131800;2771340
946;2213801;2877941.3
947;2213200;2877160
948;2535700;3296410
949;2090000;2717000
950;2099400;2729220
951;2239099;2910828.7
952;2155601;2802281.3
953;2100100;2730130
954;2082500;2707250
955;2323600;3020680
956;2105500;2737150
957;2098999;2728698.7
958;2384999;3100498.7
959;2106100;2737930
960;2143501;2786551.3
961;2103100;2734030
962;2124500;2761850
963;2633801;3423941.3
964;2146799;2790838.7
965;2115001;2749501.3
966;2149400;2794220
967;2214000;2878200
968;2143600;2786680
969;2225801;2893541.3
970;2155201;2801761.3
971;2499700;3249610
972;2128800;2767440
973;2139199;2780958.7
974;2149900;2794870
975;2416001;3140801.3
976;2178700;2832310
977;2164800;2814240
978;2254100;2930330
979;2257000;2934100
980;2296999;2986098.7
981;2312700;3006510
982;2161300;2809690
983;2211801;2875341.3
984;2201600;2862080
985;2175700;2828410
986;2221800;2888340
987;2995099;3893628.7
988;2670301;3471391.3
989;2168399;2818918.7
990;2174100;2826330
991;2391099;3108428.7
992;2288201;2974661.3
993;2453399;3189418.7
994;2189400;2846220
995;2617500;3402750
996;2192199;2849858.7
997;2244401;2917721.3
998;2500700;3250910
999;2328500;3027050
1000;2199900;2859870
